Address,City,Total Number of Alerts,Medical,Fire,No Emergency,Public Service,Hazardous Situation,Uncategorized,Law Enforcement Support
"4881 PECAN AVE","HORN LAKE",2,0,2,0,0,0,0,0
"4821 PECAN AVE","HORN LAKE",2,0,2,0,0,0,0,0
"3435 FAIR MEADOW DR","HORN LAKE",2,2,0,0,0,0,0,0
"7357 JENNIFER DR","HORN LAKE",2,2,0,0,0,0,0,0
"3179 SCOTT FARMS CV","HORN LAKE",2,2,0,0,0,0,0,0
"4242 BRIGHTON DR","HORN LAKE",2,2,0,0,0,0,0,0
"4257 MCSWAIN DR","HORN LAKE",2,2,0,0,0,0,0,0
"1610 SOUTHERN VILLA DR","HORN LAKE",2,2,0,0,0,0,0,0
"6910 WINDCHASE DR","HORN LAKE",2,1,0,1,0,0,0,0
"3867 FORREST PARK CV","HORN LAKE",2,2,0,0,0,0,0,0
"7181 HURT RD","HORN LAKE",2,2,0,0,0,0,0,0
"6530 INTERSTATE BLVD","HORN LAKE",2,1,0,1,0,0,0,0
"4170 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"2960 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"1658 CHURCH RD W","HORN LAKE",2,2,0,0,0,0,0,0
"3965 CARROLL DR","HORN LAKE",2,2,0,0,0,0,0,0
"6285 WALNUT GROVE RD","HORN LAKE",2,2,0,0,0,0,0,0
"5217 HORN LAKE RD N","HORN LAKE",2,2,0,0,0,0,0,0
"3235 BRIARWOOD DR","HORN LAKE",2,2,0,0,0,0,0,0
"6905 KENTBROOK DR","HORN LAKE",2,2,0,0,0,0,0,0
"GOODMAN RD W & WILLOW POINT DR","HORN LAKE",2,2,0,0,0,0,0,0
"3015 NORMANDY DR","HORN LAKE",2,2,0,0,0,0,0,0
"6110 KENTWOOD DR","HORN LAKE",2,2,0,0,0,0,0,0
"3855 WOODLAND DR","HORN LAKE",2,2,0,0,0,0,0,0
"6960 HUGHEY MEADOWS CV","WALLS",2,2,0,0,0,0,0,0
"4460 ANGEL DR","HORN LAKE",2,2,0,0,0,0,0,0
"7254 HURT RD","HORN LAKE",2,2,0,0,0,0,0,0
"3001 GOODMAN RD W","HORN LAKE",2,1,0,0,0,1,0,0
"6986 ALLEN DR","HORN LAKE",2,2,0,0,0,0,0,0
"7150 SUTTON PL","HORN LAKE",2,1,0,0,1,0,0,0
"6550 RIVERDALE RD","HORN LAKE",2,2,0,0,0,0,0,0
"6510 YORKSHIRE RD","HORN LAKE",2,2,0,0,0,0,0,0
"3057 CAITLYNN CIR S","HORN LAKE",2,2,0,0,0,0,0,0
"2695 DOGWOOD CV","HORN LAKE",2,2,0,0,0,0,0,0
"7424 DUNBARTON DR","HORN LAKE",2,0,2,0,0,0,0,0
"7711 BRAMBLE LN","WALLS",2,2,0,0,0,0,0,0
"5315 RIDGETOP DR","HORN LAKE",2,2,0,0,0,0,0,0
"4173 BRIGHTON DR","HORN LAKE",2,2,0,0,0,0,0,0
"6325 CORNWALL RD","HORN LAKE",2,2,0,0,0,0,0,0
"5860 NINA DR","HORN LAKE",2,2,0,0,0,0,0,0
"5140 CAROLINE DR","HORN LAKE",2,2,0,0,0,0,0,0
"4999 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"982 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"5125 CAROLINE DR","HORN LAKE",2,2,0,0,0,0,0,0
"3910 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"5164 BRENDA CV","HORN LAKE",2,2,0,0,0,0,0,0
"2475 GOODMAN RD W","HORN LAKE",2,1,1,0,0,0,0,0
"1444 TRESTLE CV","HORN LAKE",2,2,0,0,0,0,0,0
"6930 RANCH RIDGE CV W","WALLS",2,2,0,0,0,0,0,0
"4413 SHADOW GLEN DR","HORN LAKE",2,2,0,0,0,0,0,0
"5951 JACKSON DR","HORN LAKE",2,2,0,0,0,0,0,0
"6707 TEALWOOD DR","HORN LAKE",2,2,0,0,0,0,0,0
"3280 GREENWAY DR","HORN LAKE",2,2,0,0,0,0,0,0
"4075 MEADOW CREEK DR","HORN LAKE",2,2,0,0,0,0,0,0
"2515 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"710 DESOTO CV","HORN LAKE",2,1,1,0,0,0,0,0
"5726 CRESTWOOD DR","HORN LAKE",2,2,0,0,0,0,0,0
"2010 WOOD HILL DR","HORN LAKE",2,2,0,0,0,0,0,0
"988 GOODMAN RD W","HORN LAKE.",1,1,0,0,0,0,0,0
"4681 NAIL RD W","HORN LAKE",1,1,0,0,0,0,0,0
"8221 NAIL RD W","WALLS",1,1,0,0,0,0,0,0
"5562 SYCAMORE CV","HORN LAKE",1,1,0,0,0,0,0,0
"6145 LYNNFIELD RD","HORN LAKE",1,1,0,0,0,0,0,0
"7295 JENNIFER DR","HORN LAKE",1,1,0,0,0,0,0,0
"6079 LIBERTY ESTATES DR","WALLS",1,1,0,0,0,0,0,0
"5786 AMARAY CV","HORN LAKE",1,1,0,0,0,0,0,0
"3231 LATIMER RD","HORN LAKE",1,1,0,0,0,0,0,0
"5868 TUCKER LNDG","HORN LAKE",1,1,0,0,0,0,0,0
"1867 THOMAS ST","HORN LAKE",1,1,0,0,0,0,0,0
"4239 LOUDEN DR","HORN LAKE",1,0,0,1,0,0,0,0
"3410 LAUREL DR","HORN LAKE",1,1,0,0,0,0,0,0
"4293 BRIGHTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"6415 JAMESTOWN AVE","HORN LAKE",1,1,0,0,0,0,0,0
"2120 LAKELAND CV","HORN LAKE",1,0,0,1,0,0,0,0
"HWY 51 N & CHURCH RD W","HORN LAKE",1,1,0,0,0,0,0,0
"2590 WAVERLY DR","HORN LAKE",1,1,0,0,0,0,0,0
"6240 FOREST GATE RD","HORN LAKE",1,1,0,0,0,0,0,0
"1652 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"7298 MADELYN CV","HORN LAKE",1,1,0,0,0,0,0,0
"4358 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"2045 TALL TREES DR","HORN LAKE",1,1,0,0,0,0,0,0
"5831 ALTA JEAN DR","HORN LAKE",1,1,0,0,0,0,0,0
"2783 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"5895 HORN LAKE RD N","HORN LAKE",1,0,1,0,0,0,0,0
"5877 INGLESIDE DR","HORN LAKE",1,1,0,0,0,0,0,0
"2825 BRACHTON CV W","HORN LAKE",1,1,0,0,0,0,0,0
"7134 WINDSOR DR","HORN LAKE",1,1,0,0,0,0,0,0
"6775 PINEHURST RD","HORN LAKE",1,1,0,0,0,0,0,0
"HILLCREST CIR & HILLCREST DR","HORN LAKE",1,1,0,0,0,0,0,0
"2985 WAVERLY DR","HORN LAKE",1,1,0,0,0,0,0,0
"CAROLINE DR & CRESTWOOD DR","HORN LAKE",1,0,1,0,0,0,0,0
"1490 CROSSING DR","HORN LAKE",1,1,0,0,0,0,0,0
"KENTWOOD DR & HEATHERGLEN CV E","HORN LAKE",1,0,1,0,0,0,0,0
"6220 JAMESTOWN AVE","HORN LAKE",1,0,1,0,0,0,0,0
"1389 GOODMAN RD W","HORN LAKE",1,0,0,1,0,0,0,0
"5611 PORT STACY DR","HORN LAKE",1,1,0,0,0,0,0,0
"6530 YORKSHIRE RD","HORN LAKE",1,1,0,0,0,0,0,0
"4015 SHADOW GLEN DR","HORN LAKE",1,0,1,0,0,0,0,0
"FLEETWOOD DR & LONGVIEW CV","HORN LAKE",1,0,1,0,0,0,0,0
"2085 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"3110 BRIARWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"5859 WAVERLY DR","HORN LAKE",1,1,0,0,0,0,0,0
"5855 CHEROKEE DR","HORN LAKE",1,1,0,0,0,0,0,0
"5718 GOODMAN RD W","HORN LAKE",1,0,0,0,1,0,0,0
"1317 ARBOR LAKE DR S","HORN LAKE",1,1,0,0,0,0,0,0
"6341 HWY 51 N","HORN LAKE",1,1,0,0,0,0,0,0
"FOREST GATE RD & FAIR MEADOW DR","HORN LAKE",1,1,0,0,0,0,0,0
"4242 HIGHGATE DR","HORN LAKE",1,1,0,0,0,0,0,0
"Latitude: 34.9322","DeSoto County",1,1,0,0,0,0,0,0
"DUNBARTON DR & SHADOW OAKS PKWY","HORN LAKE",1,1,0,0,0,0,0,0
"KAREN DR & CAROLINE DR","HORN LAKE",1,1,0,0,0,0,0,0
"7141 DUNBARTON DR","HORN LAKE",1,1,0,0,0,0,0,0
"6100 HORN LAKE RD N","HORN LAKE",1,1,0,0,0,0,0,0
"3850 WOODLAND DR","HORN LAKE",1,1,0,0,0,0,0,0
"4211 HIGHGATE DR","HORN LAKE",1,1,0,0,0,0,0,0
"2996 CHURCHWELL DR","HORN LAKE",1,1,0,0,0,0,0,0
"7183 LAYNE DR","HORN LAKE",1,1,0,0,0,0,0,0
"FOGG RD N & AUSTIN RD","LAKE CORMORANT",1,1,0,0,0,0,0,0
"2955 BROOK CV","HORN LAKE",1,1,0,0,0,0,0,0
"5818 DOVER DR","HORN LAKE",1,1,0,0,0,0,0,0
"4557 BOXWOOD LN","HORN LAKE",1,1,0,0,0,0,0,0
"5685 WINTERWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"3950 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"NAIL RD W & SOMERSET DR","HORN LAKE",1,1,0,0,0,0,0,0
"4283 MCSWAIN DR","HORN LAKE",1,1,0,0,0,0,0,0
"4300 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"6085 DEVON CIR","HORN LAKE",1,1,0,0,0,0,0,0
"6065 DEVON CIR","HORN LAKE",1,1,0,0,0,0,0,0
"4840 NAIL RD W","HORN LAKE",1,1,0,0,0,0,0,0
"6280 GREENBRIAR DR","HORN LAKE",1,1,0,0,0,0,0,0
"4140 FOUNTAIN LN","HORN LAKE",1,1,0,0,0,0,0,0
"6520 E CENTER ST","HORN LAKE",1,0,1,0,0,0,0,0
"HWY 301 N & GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"GOODMAN RD W & HWY 301 N","HORN LAKE",1,1,0,0,0,0,0,0
"6605 ALICE ST","HORN LAKE",1,1,0,0,0,0,0,0
"NAIL RD W & HORN LAKE RD N","HORN LAKE",1,1,0,0,0,0,0,0
"7100 TULANE RD N","HORN LAKE Building: 9",1,1,0,0,0,0,0,0
"6180 FOREST GATE RD","HORN LAKE",1,1,0,0,0,0,0,0
"1600 SOUTHERN VILLA DR","HORN LAKE Building: 1675",1,1,0,0,0,0,0,0
"4775 ALDEN LAKE DR W","HORN LAKE",1,1,0,0,0,0,0,0
"6515 SANDHURST DR","HORN LAKE",1,1,0,0,0,0,0,0
"7383 PERRIN LN","HORN LAKE",1,1,0,0,0,0,0,0
"2926 CONNOR REED DR","HORN LAKE",1,0,1,0,0,0,0,0
"2400 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"6545 RIVERDALE RD","HORN LAKE",1,1,0,0,0,0,0,0
"7931 SOUTHAVEN CIR W","SOUTHAVEN",1,1,0,0,0,0,0,0
"829 TUSCANY WAY","SOUTHAVEN",1,1,0,0,0,0,0,0
"2563 GOODMAN RD W","HORN LAKE",1,0,0,1,0,0,0,0
"4938 HORN LAKE RD N","NESBIT",1,1,0,0,0,0,0,0
"2601 BRYCE CV","HORN LAKE",1,0,0,0,0,1,0,0
"5558 KINGS RETREAT E","HORN LAKE",1,1,0,0,0,0,0,0
"5853 NINA DR","HORN LAKE",1,0,0,0,1,0,0,0
"5364 WILLOW OAK DR","HORN LAKE",1,0,1,0,0,0,0,0
"7058 FOXHALL DR","HORN LAKE",1,1,0,0,0,0,0,0
"1716 CHURCH RD W","HORN LAKE",1,1,0,0,0,0,0,0
"4333 SHADOW RIDGE DR","HORN LAKE",1,1,0,0,0,0,0,0
"6150 DEVON CIR","HORN LAKE",1,1,0,0,0,0,0,0
"5856 WAVERLY DR","HORN LAKE",1,1,0,0,0,0,0,0
"3200 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"3745 CARROLL DR","HORN LAKE",1,1,0,0,0,0,0,0
"6935 WINDCHASE DR","HORN LAKE",1,0,0,0,0,1,0,0
"7310 SUSIE LN","HORN LAKE",1,1,0,0,0,0,0,0
"2925 DEVON CIR","HORN LAKE",1,0,1,0,0,0,0,0
"7644 WOODSHIRE DR","HORN LAKE",1,1,0,0,0,0,0,0
"6400 FOREST GLEN DR","HORN LAKE",1,1,0,0,0,0,0,0
"5787 CHEROKEE DR","HORN LAKE",1,1,0,0,0,0,0,0
"3415 LAURELWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"6505 FOREST GLEN DR","HORN LAKE",1,1,0,0,0,0,0,0
"7910 HWY 301 N","HORN LAKE",1,1,0,0,0,0,0,0
"1453 COMMERCE PKWY","HORN LAKE",1,0,1,0,0,0,0,0
"7172 BRENWOOD DR","HORN LAKE",1,1,0,0,0,0,0,0
"5157 KAREN DR","HORN LAKE",1,1,0,0,0,0,0,0
"7363 NAIL RD W","WALLS",1,1,0,0,0,0,0,0
"4848 CANTATA DR","WALLS",1,1,0,0,0,0,0,0
"5292 STARLANDING RD W","NESBIT",1,1,0,0,0,0,0,0
"3720 SOUTHBROOK DR","HORN LAKE",1,0,1,0,0,0,0,0
"1631 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"6200 KENSINGTON RD","HORN LAKE",1,1,0,0,0,0,0,0
"2335 CHURCH RD W","HORN LAKE",1,0,1,0,0,0,0,0
"1005 GOODMAN RD W","HORN LAKE",1,1,0,0,0,0,0,0
"4810 ALDEN LAKE DR W","HORN LAKE",1,1,0,0,0,0,0,0
"3896 SANTA FE LOOP","HORN LAKE",1,1,0,0,0,0,0,0
"1620 YORKHAVEN DR","HORN LAKE",1,1,0,0,0,0,0,0
